qid,split,source_paper_id,source_paper_title,source_task_index,source_task_category,proxy_dataset,rewrite_type
21,eval,1,Generative Adversarial Regularized Mutual Information Policy Gradient Framework for Automatic Diagno,1,Feature Engineering,TJH,preprocessing_feature_engineering
1,eval,2,AdaCare Explainable Clinical Health Status Representation Learning via Scale Adaptive Feature Extra,1,Cohort Definition,TJH,cohort_query
31,eval,3,ConCare Personalized Clinical Feature Embedding via Capturing the Healthcare Context,4,Model Evaluation,TJH,artifact_generation
22,eval,4,DeepAlerts Deep Learning Based Multi Horizon Alerts for Clinical Deterioration on Oncology Hospital,1,Data Preprocessing,TJH,preprocessing_feature_engineering
2,eval,5,Learning the Graphical Structure of Electronic Health Records with Graph Convolutional Transformer,4,Cohort Definition,TJH,cohort_query
3,eval,8,Deep Mixed Effect Model Using Gaussian Processes A Personalized and Reliable Prediction for Healthc,4,Data Analysis,TJH,cohort_query
23,eval,9,Learning Conceptual Contextual Embeddings for Medical Text,2,Feature Engineering,TJH,preprocessing_feature_engineering
11,eval,10,Understanding Medical Conversations with Scattered Keyword Attention and Weak Supervision from Respo,4,Data Analysis,TJH,temporal_statistics
4,eval,11,ICD Coding from Clinical Text Using Multi Filter Residual Convolutional Neural Network,1,Cohort Definition,TJH,cohort_query
12,eval,12,A System for Medical Information Extraction and Verification from Unstructured Text,5,Data Analysis,TJH,temporal_statistics
5,eval,13,GRASP Generic Framework for Health Status Representation Learning Based on Incorporating Knowledge,4,Cohort Definition,TJH,cohort_query
6,eval,14,Clinical Risk Prediction with Temporal Probabilistic Asymmetric Multi Task Learning,1,Cohort Definition,TJH,cohort_query
24,eval,16,ESCAPED Efficient Secure and Private Dot Product Framework for Kernel based Machine Learning Algori,3,Model Evaluation,TJH,preprocessing_feature_engineering
25,eval,17,MUFASA Multimodal Fusion Architecture Search for Electronic Health Records,1,Feature Engineering,TJH,preprocessing_feature_engineering
13,eval,18,MTAAL Multi Task Adversarial Active Learning for Medical Named Entity Recognition and Normalization,5,Data Analysis,TJH,temporal_statistics
14,eval,19,Clinical Temporal Relation Extraction with Probabilistic Soft Logic Regularization and Global Infere,3,Model Evaluation,TJH,temporal_statistics
7,eval,20,Diaformer Automatic Diagnosis via Symptoms Sequence Generation,1,Cohort Definition,TJH,cohort_query
8,eval,21,Context Aware Health Event Prediction via Transition Functions on Dynamic Disease Graphs,2,Cohort Definition,TJH,cohort_query
32,eval,22,Clustering Interval Censored Time Series for Disease Phenotyping,2,Model Evaluation,TJH,artifact_generation
26,eval,23,Heterogeneous Graph Learning for Multi Modal Medical Data Analysis,1,Feature Engineering,TJH,preprocessing_feature_engineering
15,eval,24,KerPrint Local Global Knowledge Graph Enhanced Diagnosis Prediction for Retrospective and Prospecti,4,Model Evaluation,TJH,temporal_statistics
16,eval,25,Multi Label Few Shot ICD Coding as Autoregressive Generation with Prompt,1,Model Evaluation,TJH,temporal_statistics
27,eval,26,Estimating Treatment Effects from Irregular Time Series Observations with Hidden Confounders,1,Feature Engineering,TJH,preprocessing_feature_engineering
9,eval,27,Estimating Average Causal Effects from Patient Trajectories,5,Cohort Definition and Analysis,TJH,cohort_query
33,eval,28,Causal Recurrent Variational Autoencoder for Medical Time Series Generation,4,Model Evaluation,TJH,artifact_generation
28,eval,29,MHCCL Masked Hierarchical Cluster Wise Contrastive Learning for Multivariate Time Series,2,Feature Engineering,TJH,preprocessing_feature_engineering
10,eval,30,Forecasting with Sparse but Informative Variables A Case Study in Predicting Blood Glucose,4,Cohort Definition,TJH,cohort_query
29,eval,31,PromptMRG Diagnosis Driven Prompts for Medical Report Generation,2,Feature Engineering,TJH,preprocessing_feature_engineering
30,eval,32,Automatic Radiology Reports Generation via Memory Alignment Network,5,Feature Engineering,TJH,preprocessing_feature_engineering
34,eval,33,KG TREAT Pre training for Treatment Effect Estimation by Synergizing Patient Data with Knowledge Gr,1,Model Evaluation,TJH,artifact_generation
71,eval,34,Inducing Clusters Deep Kernel Gaussian Process for Longitudinal Data,2,Feature Engineering,MIMIC-IV-demo-MEDS,preprocessing_feature_engineering
17,eval,35,ConSequence Synthesizing Logically Constrained Sequences for Electronic Health Record Generation,1,Model Implementation: Rule Neuron,TJH,temporal_statistics
72,eval,36,IGAMT Privacy Preserving Electronic Health Record Synthesization with Heterogeneity and Irregularit,1,Feature Engineering,MIMIC-IV-demo-MEDS,preprocessing_feature_engineering
51,eval,37,IVP VAE Modeling EHR Time Series with Initial Value Problem Solvers,1,Cohort Definition,MIMIC-IV-demo-MEDS,cohort_query
52,eval,38,DrFuse Learning Disentangled Representation for Clinical Multi Modal Fusion with Missing Modality a,1,Data Curation and Cohort Definition,MIMIC-IV-demo-MEDS,cohort_query
18,eval,39,Large Language Models Are Clinical Reasoners Reasoning Aware Diagnosis Framework with Prompt Genera,4,Data Analysis,TJH,temporal_statistics
19,eval,40,Collaborative Synthesis of Patient Records through Multi Visit Health State Inference,4,Model Evaluation,TJH,temporal_statistics
20,eval,42,DAMPER A Dual Stage Medical Report Generation Framework with Coarse Grained MeSH Alignment and Fine,3,Model Evaluation,TJH,temporal_statistics
73,eval,44,Memorize and Rank Elevating Large Language Models for Clinical Diagnosis Prediction,4,Feature Engineering,MIMIC-IV-demo-MEDS,preprocessing_feature_engineering
74,eval,45,DECT Harnessing LLM assisted Fine Grained Linguistic Knowledge and Label Switched and Label Preserv,1,Feature Engineering,MIMIC-IV-demo-MEDS,preprocessing_feature_engineering
61,eval,47,Medical Manifestation Aware De Identification,1,Data Analysis,MIMIC-IV-demo-MEDS,temporal_statistics
75,eval,50,GraphCare Enhancing Healthcare Predictions with Personalized Knowledge Graphs,1,Feature Engineering,MIMIC-IV-demo-MEDS,preprocessing_feature_engineering
53,eval,52,Diagnosing Transformers Illuminating Feature Spaces for Clinical Decision-Making.,5,Cohort Definition,MIMIC-IV-demo-MEDS,cohort_query
54,eval,53,A Flexible Generative Model for Heterogeneous Tabular EHR with Missing Modality.,4,Model Evaluation,MIMIC-IV-demo-MEDS,cohort_query
55,eval,54,Graph Transformers on EHRs Better Representation Improves Downstream Performance.,3,Cohort Definition,MIMIC-IV-demo-MEDS,cohort_query
76,eval,58,Small Models are LLM Knowledge Triggers for Medical Tabular Prediction.,3,Model Evaluation,MIMIC-IV-demo-MEDS,preprocessing_feature_engineering
62,eval,59,Efficiently Democratizing Medical LLMs for 50 Languages via a Mixture of Language Family Experts,2,Model Evaluation,MIMIC-IV-demo-MEDS,temporal_statistics
35,eval,61,BoXHED Boosted eXact Hazard Estimator with Dynamic covariates,2,Model Evaluation,TJH,artifact_generation
63,eval,62,Temporal Phenotyping using Deep Predictive Clustering of Disease Progression,4,Model Evaluation,MIMIC-IV-demo-MEDS,temporal_statistics
64,eval,66,DeepCoDA personalized interpretability for compositional health data.,4,Model Evaluation,MIMIC-IV-demo-MEDS,temporal_statistics
77,eval,68,Neighborhood Contrastive Learning Applied to Online Patient Monitoring.,2,Feature Engineering,MIMIC-IV-demo-MEDS,preprocessing_feature_engineering
78,eval,69,Locally Sparse Neural Networks for Tabular Biomedical Data.,3,Model Evaluation,MIMIC-IV-demo-MEDS,preprocessing_feature_engineering
56,eval,70,Learning of Cluster-based Feature Importance for Electronic Health Record Time-series.,1,Cohort Definition,MIMIC-IV-demo-MEDS,cohort_query
57,eval,71,Improving Medical Predictions by Irregular Multimodal Electronic Health Records Modeling.,1,Cohort Definition,MIMIC-IV-demo-MEDS,cohort_query
58,eval,72,Sequential Multi-Dimensional Self-Supervised Learning for Clinical Time Series.,1,Cohort Definition,MIMIC-IV-demo-MEDS,cohort_query
59,eval,73,Contrastive Learning for Clinical Outcome Prediction with Partial Data Sources.,1,Cohort Definition,MIMIC-IV-demo-MEDS,cohort_query
