paper_id,paper_title,task_index,category,task,answer,proxy_eligibility,constraint_codes
1,Generative Adversarial Regularized Mutual Information Policy Gradient Framework for Automatic Diagno,2,Model Implementation,"Implement the loss function for training a discriminator network \(D_{\psi}\) in a Generative Adversarial Network (GAN) framework designed for medical symptom sequences. The discriminator's role is to distinguish between real symptom inquiry sequences from a dataset and fake sequences generated by a policy network \(G_{\theta}\).

      The objective is to find the parameters \(\psi\) that minimize the following loss function:
      \[ \min_{\psi} - \mathbb{E}_{Y \sim p_{\text{data}}}[\log D_{\psi}(Y)] - \mathbb{E}_{Y \sim G_{\theta}}[\log(1 - D_{\psi}(Y))] \]
      Where:
      *   \(Y\) represents a complete sequence of symptom inquiries.
      *   \(p_{\text{data}}\) is the distribution of real symptom sequences from the training data.
      *   \(G_{\theta}\) is the generator network that produces fake symptom sequences.
      *   \(D_{\psi}(Y)\) is the discriminator's output, a scalar probability indicating that the sequence \(Y\) is real.

      Your task is to implement a function that takes a batch of real sequences and a batch of fake sequences, passes them through the discriminator model \(D_{\psi}\), and computes this specific loss value.","Training a discriminator with this loss function and using its output probability as a reward for a policy gradient agent (a model configuration referred to as ""PG + GAN"") results in a model that achieves \(0.758\) accuracy and an average of \(3.4\) inquiry turns. This outcome shows that regularizing the policy with an adversarial loss helps the agent learn more ""natural"" inquiry patterns similar to human doctors, improving accuracy over a vanilla policy gradient agent.",reject,implementation_only|paper_metric_only
1,Generative Adversarial Regularized Mutual Information Policy Gradient Framework for Automatic Diagno,3,Model Implementation,"Implement a function to compute the final combined reward, \(R_F\), for a reinforcement learning agent in a medical diagnosis system. This reward integrates a signal from a GAN's discriminator with a signal from a mutual information calculation to guide the agent's policy towards being both diagnostically efficient and human-like.

      The final reward \(R_F\) is a weighted sum of the mutual information reward \(R_M\) and the discriminator reward \(R_D\). The formula is:
      \[ R_F = (1 - \lambda)R_M + \lambda (R_D - \epsilon) \]
      Where:
      *   \(R_M\) is the mutual information reward, provided as a scalar float. It is calculated as \(I(O_{t-1}; O_t | D_{\phi})\).
      *   \(R_D\) is the discriminator reward, provided as a scalar float. It is the probability assigned by the discriminator \(D_{\psi}\) to the partial sequence of inquiries up to the current step, i.e., \(R_D = D_{\psi}(Y_{1:t-1})\).
      *   \(\lambda\) is a scalar hyperparameter that balances the two rewards. You must set \(\lambda = 0.5\).
      *   \(\epsilon\) is a scalar offset for the discriminator reward, meant to shift the reward range. You must set \(\epsilon = 0.5\).

      Your task is to create a function `calculate_final_reward(R_M, R_D)` that implements this formula with the specified constants and returns the final scalar reward \(R_F\).","A policy trained using this final combined reward \(R_F\) (the full ""PG + MI-GAN"" model) achieves the highest performance reported, with a diagnosis accuracy of \(0.769\) and the lowest average turns of \(2.68\). This result demonstrates that combining a reward for information gain (\(R_M\)) with a reward for generating realistic inquiry sequences (\(R_D\)) leads to the most effective and efficient diagnosis policy.",reject,implementation_only|paper_metric_only
1,Generative Adversarial Regularized Mutual Information Policy Gradient Framework for Automatic Diagno,4,Model Implementation,"Implement the policy gradient update rule for a generator network \(G_{\theta}\) within a Generative Adversarial regularized framework for medical diagnosis. The generator's role is to produce a sequence of symptom inquiries, and this update rule optimizes its policy \(\theta\).

      The gradient of the objective function \(J(\theta)\) with respect to the generator's parameters \(\theta\) is estimated for a trajectory as:
      \[ \nabla_{\theta}J(\theta) = \sum_{t=1}^{T}\mathbb{E}_{y_{t}\sim G_{\theta}}[\nabla_{\theta}\log G_{\theta}(y_{t}|Y_{1:t-1}) \cdot R_{F}^{(t)}] \]
      Where:
      *   \(T\) is the maximum length of the inquiry sequence.
      *   \(y_t\) is the symptom inquired at step \(t\).
      *   \(Y_{1:t-1}\) is the sequence of symptoms inquired up to step \(t-1\).
      *   \(G_{\theta}(y_{t}|Y_{1:t-1})\) is the probability of inquiring symptom \(y_t\) given the history, as produced by the generator.
      *   \(R_{F}^{(t)}\) is the final combined reward at step \(t\), which you can assume is provided as a pre-computed scalar value.

      Your task is to write a function that computes the gradient estimate \(\nabla_{\theta}J(\theta)\) for a single trajectory. The function should take as input a sequence of log-probabilities of the actions taken, \([\log G_{\theta}(y_1|Y_0), \dots, \log G_{\theta}(y_T|Y_{1:T-1})]\), and the corresponding sequence of rewards, \([R_{F}^{(1)}, \dots, R_{F}^{(T)}]\). It should then compute the policy gradient as specified by the formula.","When the generator's parameters \(\theta\) are updated using this policy gradient rule with a combined mutual information and adversarial reward (\(R_F\)), the resulting model (referred to as ""PG + MI-GAN"") achieves a final diagnosis accuracy of \(0.769\) with an average of \(2.68\) inquiry turns on the Dxy dataset. This represents the best performance among all tested models, indicating the effectiveness of this specific update mechanism in optimizing the inquiry policy.",reject,implementation_only|paper_metric_only
1,Generative Adversarial Regularized Mutual Information Policy Gradient Framework for Automatic Diagno,5,Model Evaluation,"Your goal is to replicate the performance of a baseline model from a study on automated medical diagnosis. The model is a ""Vanilla Policy Gradient"" (Vanilla PG) agent. The agent interacts with a user simulator and is trained using a fixed, predefined reward scheme.

      You must implement a system that adheres to the following reward structure:
      *   A positive reward \(R_+\) is given for a correct final diagnosis.
      *   A negative reward \(R_-\) is given for an incorrect final diagnosis.
      *   A reward \(R_m\) is given for each inquiry that matches a symptom the patient actually has (a ""match"").
      *   A penalty \(R_r\) is given for requesting a symptom that has already been discussed (a ""repeated request"").

      While the exact scalar values of \(R_+, R_-, R_m, R_r\) are not provided, you are to assume they are tuned for best performance. Your task is to implement a vanilla policy gradient agent using this reward scheme and report its performance on a test dataset. The evaluation metrics to report are:
      1.  **Accuracy:** The fraction of dialogues where the final predicted disease is correct.
      2.  **Ave turns:** The average number of symptom inquiries the agent makes per dialogue.
      3.  **Match rate:** The proportion of the agent's inquiries that correspond to symptoms the patient actually has.","On the Dxy dataset, the Vanilla Policy Gradient (Vanilla PG) model achieves a diagnosis accuracy of \(0.731\), an average of \(3.11\) inquiry turns, and a match rate of \(0.212\). This result serves as a crucial baseline, demonstrating the performance of a standard policy gradient approach with a fixed reward function, against which more advanced reward mechanisms are compared.",proxy_candidate,paper_metric_only
10,Understanding Medical Conversations with Scattered Keyword Attention and Weak Supervision from Respo,1,Model Implementation,"Implement a ""label-embedding attentive model"" component for a multi-label text classification task. This component is designed to re-weight an input word embedding sequence to highlight keywords relevant to potential labels.

**Inputs:**
1.  An input word embedding sequence for a single utterance: \( \mathcal{X} = \{x_{1}, \dots, x_{n}\} \), where each \( x_i \in \mathbb{R}^{d} \) is a word vector and \( n \) is the sequence length.
2.  A set of candidate label embeddings: \( \mathcal{S} = \{s_1, \dots, s_m\} \), where each \( s_j \in \mathbb{R}^{d} \) is the embedding for a possible label (e.g., a medical symptom) and \( m \) is the total number of labels.

**Procedure:**
1.  For each word embedding \( x_i \) in the input sequence \( \mathcal{X} \), compute an attention score \( a_i \). This score is the maximum dot product similarity between the word embedding \( x_i \) and any of the candidate label embeddings in \( \mathcal{S} \).
    \[ a_{i} = \max_{j=1,\dots,m}(x_{i} \cdot s_{j}) \]
    where \( \cdot \) denotes the dot product. The result is a vector of attention scores \( \{a_1, \dots, a_n\} \).

2.  Generate a new, re-weighted word embedding sequence \( \mathcal{X}' \). This is done by performing an element-wise multiplication of each original word embedding \( x_i \) with its corresponding scalar attention score \( a_i \).
    \[ \mathcal{X}' = \{x_{1} \cdot a_{1}, \dots, x_{n} \cdot a_{n}\} \]

Your implementation should be a module that takes \( \mathcal{X} \) and \( \mathcal{S} \) as input and returns \( \mathcal{X}' \). This output sequence \( \mathcal{X}' \) can then be fed into a downstream encoder like a CNN or RNN for the final classification.","When this label-embedding attentive model ('A') is added to a TextCNN baseline, the performance improves from a Micro F1 of 70.69 to 73.07 and a Macro F1 from 56.95 to 62.40. This indicates that the attention mechanism is effective at helping the model identify scattered keywords relevant to the classification task, with a more pronounced improvement on less frequent labels (as shown by the larger gain in Macro F1).",reject,implementation_only|paper_metric_only
10,Understanding Medical Conversations with Scattered Keyword Attention and Weak Supervision from Respo,2,Training Strategy,"Implement a two-step training procedure for a multi-label medical slot filling classifier. This procedure involves a weak supervision pre-training phase followed by a supervised fine-tuning phase.

**Step 1: Weak Supervision for Pre-training**
1.  **Data:** Use a large unlabeled dataset of patient queries, where for each query, a set of ""weak"" labels has been extracted by string-matching medical concepts from the corresponding doctor's response.
2.  **Model:** A multi-label classifier with parameters \( \theta \).
3.  **Objective:** For each input query \( x_i \), the model predicts a probability distribution \( p(y_i|x_i, \theta) \). The target \( y_i' \) is the multi-hot vector of weak labels from the doctor's response. Minimize the binary cross-entropy loss with logits. The objective function is:
    \[ \text{loss} = \mathrm{Loss}(p(y_i|x_i,\theta), y_i') \]
    where \( \mathrm{Loss} \) is the `BCEWithLogitsLoss` function.
4.  **Output:** The learned model parameters, denoted as \( \theta' \).

**Step 2: Supervised Learning for Fine-tuning**
1.  **Data:** Use a smaller, manually annotated dataset of patient queries and their ground-truth labels.
2.  **Model Initialization:** Initialize the classifier's parameters \( \theta \) with the parameters \( \theta' \) learned during the pre-training phase.
3.  **Objective:** For each input query \( x_i \), the model predicts \( p(y_i|x_i, \theta) \). The target \( y_i' \) is now the multi-hot vector of expert-annotated ground-truth labels. Minimize the same loss function as in pre-training:
    \[ \text{loss} = \mathrm{Loss}(p(y_i|x_i,\theta), y_i') \]
4.  **Training Hyperparameters:** Use the Adam optimizer with a learning rate of 0.001, \( \beta_{1} = 0.9 \), \( \beta_{2} = 0.999 \), and \( \epsilon = 1e^{-8} \). Use a batch size of 16 and a dropout rate of 0.5.

Your task is to implement this complete two-step training loop.","Applying this weak supervision ('WS') pre-training strategy to a DRNN model that already includes a label-embedding attention mechanism (DRNN+A) results in a final model (DRNN+A+WS) with a Micro F1 of 81.15, a Macro F1 of 76.95, and a Turn Accuracy of 58.30. This represents a significant improvement over the non-pre-trained DRNN+A model (Micro F1: 76.07, Macro F1: 67.42), demonstrating that pre-training on weakly labeled data effectively initializes the model to better handle the task.",proxy_candidate,paper_metric_only
10,Understanding Medical Conversations with Scattered Keyword Attention and Weak Supervision from Respo,3,Model Evaluation,"Your goal is to build and evaluate a complete medical slot filling system and reproduce its performance metrics. The system combines a Disconnected Recurrent Neural Network (DRNN) encoder, a label-embedding attentive model, and a weak supervision pre-training strategy.

**System Components:**
1.  **Word Embeddings:** Use 300-dimensional GloVe vectors.
2.  **Label-embedding Attentive Model ('A'):** Before the encoder, apply the attention mechanism. Given an input word embedding sequence \( \mathcal{X} = \{x_1, \dots, x_n\} \) and candidate label embeddings \( \mathcal{S} = \{s_1, \dots, s_m\} \), produce a re-weighted sequence \( \mathcal{X}' = \{x_1 \cdot a_1, \dots, x_n \cdot a_n\} \), where \( a_i = \max_{j}(x_i \cdot s_j) \).
3.  **Encoder:** Use a DRNN to encode the re-weighted sequence \( \mathcal{X}' \) into a query representation vector \( r \).
4.  **Classifier:** A final feed-forward layer with a sigmoid activation function maps \( r \) to an output probability distribution over the \( m=29 \) possible labels.
5.  **Training Strategy ('WS'):**
    *   **Pre-train** the entire model on 100,000 unlabeled query-response pairs, where weak labels are extracted from the responses.
    *   **Fine-tune** the pre-trained model on 1,152 labeled training samples.
    *   Use the Adam optimizer (learning rate 0.001, \( \beta_{1} = 0.9 \), \( \beta_{2} = 0.999 \), \( \epsilon = 1e^{-8} \)), a batch size of 16, and a dropout rate of 0.5.

**Evaluation:**
Evaluate the final, fine-tuned model on the 1,000-sample test set. Report the following five metrics, formatted to two decimal places: Precision, Recall, Micro F1, Macro F1, and Turn Accuracy.","The performance of the specified DRNN+A+WS model is: Precision = 82.94, Recall = 79.44, Micro F1 = 81.15, Macro F1 = 76.95, and Turn Accuracy = 58.30. These results represent the state-of-the-art performance in the study, showcasing the combined effectiveness of the attention mechanism and the weak supervision strategy.",proxy_candidate,paper_metric_only
10,Understanding Medical Conversations with Scattered Keyword Attention and Weak Supervision from Respo,5,Ablation Study,"Perform an ablation study to determine the most effective source for weak supervision labels in a medical dialogue context. You will compare using patient queries versus doctor responses as the source of weak labels.

**Procedure:**
1.  **Implement the Base Model:** Use a TextCNN classifier as the base model for all experiments.
2.  **Prepare Two Pre-training Datasets:** From a large corpus of 100,000 unlabeled query-response pairs, create two distinct sets of weak labels:
    *   **Weak Labels Q:** For each pair, derive labels by performing string matching for medical concepts directly within the patient's *query* text.
    *   **Weak Labels R:** For each pair, derive labels by performing string matching for medical concepts within the doctor's *response* text.
3.  **Train Two Models:**
    *   **Model Q:** Pre-train a TextCNN model using Weak Labels Q.
    *   **Model R:** Pre-train a separate TextCNN model using Weak Labels R.
4.  **Fine-tune:** Fine-tune both pre-trained models (Model Q and Model R) on the same full set of 1,152 expert-annotated training samples.
5.  **Evaluate and Report:** Evaluate both fine-tuned models on the test set. Report the Micro F1, Macro F1, and Turn Accuracy for both Model Q and Model R.","The results of the weak supervision source comparison are as follows:
- **Model R (labels from Responses):** Micro F1 = 72.59, Macro F1 = 58.65, Turn Accuracy = 53.30.
- **Model Q (labels from Queries):** Micro F1 = 53.64, Macro F1 = 54.32, Turn Accuracy = 27.50.

This stark difference in performance demonstrates that using doctor responses as the source for weak supervision is significantly more effective. The interpretation is that doctors use formal, standardized medical terms that are easier to match and provide a cleaner training signal, whereas patient queries are colloquial and noisy, leading to poor quality weak labels.",proxy_candidate,paper_metric_only
100,Predictive Modeling with Temporal Graphical Representation on Electronic Health Records,2,Feature Engineering,"Implement a spatial encoding module for medical event nodes in a patient's heterogeneous graph. The total spatial encoding is generated by concatenating a global positional encoding \( \mathcal{P}(e) \) and a local structural encoding \( \mathcal{S}(e) \). You will implement functions to compute both.

      The computations are based on a meta-path-derived adjacency matrix \( \tilde{\mathbf{A}} \).

      **1. Global Positional Encoding \( \mathcal{P}(e) \):**
      This encoding is based on the Laplacian eigenvectors of the graph. For a given node \( e \), its positional encoding \( \mathcal{P}(e) \in \mathbb{R}^k \) is constructed from the top \( k \) eigenvectors of the graph Laplacian.
      The formula is:
      \[ \mathcal{P}(e) = [\mathbf{v}_e^{(1)}, \mathbf{v}_e^{(2)}, \ldots, \mathbf{v}_e^{(i)}, \ldots, \mathbf{v}_e^{(k)}] \]
      where \( \mathbf{v}_e^{(i)} \) is the element corresponding to node \( e \) in the \( i \)-th eigenvector of the Laplacian of \( \tilde{\mathbf{A}} \).

      **2. Local Structural Encoding \( \mathcal{S}(e) \):**
      This encoding captures local structure using random walks. For a given node \( e \), its structural encoding \( \mathcal{S}(e) \in \mathbb{R}^k \) is formed by the cumulative probabilities of the node connecting to itself over \( k \) steps.
      The formula is:
      \[ \mathcal{S}(e) = [\mathbf{d}_e^{(1)}, \mathbf{d}_e^{(2)}, \ldots, \mathbf{d}_e^{(i)}, \ldots, \mathbf{d}_e^{(k)}] \]
      where \( \mathbf{d}_e^{(i)} \) is the diagonal element corresponding to node \( e \) in the \( i \)-step random walk matrix \( \mathbf{W}^i \). The random walk matrix is typically derived from the normalized adjacency matrix.

      Your task is to write two functions, `compute_positional_encoding` and `compute_structural_encoding`, that take an adjacency matrix \( \tilde{\mathbf{A}} \) and an integer \( k \) as input and return the encodings for all nodes.","The inclusion of Spatial Encoding (SE) improves the model's performance on the MIMIC-III dataset. The visit-level Precision@10 score increases from \( 57.16 \pm 0.28 \) to \( 57.65 \pm 0.25 \) when SE is added. This demonstrates that explicitly encoding global position and local graph structure provides valuable information that the model's convolutional layers do not capture on their own, leading to more accurate predictions.",proxy_candidate,inaccessible_data|paper_metric_only
100,Predictive Modeling with Temporal Graphical Representation on Electronic Health Records,3,Model Implementation,"Implement a single-head attention layer for the temporal heterogeneous message passing mechanism. This layer updates the representation of a visit node \( v_t \) by aggregating information from its neighboring medical event nodes \( e_t \).

      The process for a single attention head \( i \) is as follows:

      1.  **Input:**
          *   Current visit node representation: \( \mathbf{h}_v^{(l)} \in \mathbb{R}^d \)
          *   Neighboring medical event node representations: \( \mathbf{h}_{e_t}^{(l)} \in \mathbb{R}^d \) for each neighbor \( e_t \in N(v_t) \)
          *   A temporal factor for the current visit: \( \alpha_t \in \mathbb{R} \)
          *   A skip-connection coefficient: \( \gamma \in \mathbb{R} \)
          *   Linear projection layers \( L(\cdot) \) and type-specific weight matrices \( \mathbf{W}^{\mu(e)} \in \mathbb{R}^{d \times d} \). Assume these are provided.

      2.  **Attention Score Calculation:**
          First, compute the query \( \mathbf{q}_v \) and key \( \mathbf{k}_{e_t} \) for each neighbor:
          \[ \mathbf{q}_v = L(\mathbf{h}_v^{(l)}), \quad \mathbf{k}_{e_t} = L(\mathbf{h}_{e_t}^{(l)}) \]
          Then, calculate the attention score for each neighbor \( e_t \), where \( \mu(e) \) is the type of node \( e_t \):
          \[ \mathbf{A}\mathbf{t}^i (e_t,v_t) = \frac{\alpha_t \cdot (\mathbf{q}_v \mathbf{W}^{\mu(e)} \mathbf{k}_{e_t}^\top)}{\sqrt{d}} \]

      3.  **Message Aggregation:**
          Normalize the attention scores across all neighbors of \( v_t \) using a Softmax function. Then, compute the aggregated message \( \widetilde{\mathbf{h}}_v^i \) by taking a weighted sum of the linearly transformed neighbor features:
          \[ \widetilde{\mathbf{h}}_v^i = \text{Softmax}_{e_t \in N(v_t)} \left( \mathbf{A}\mathbf{t}^i (e_t,v_t) \right) \cdot L(\mathbf{h}_{e_t}^{(l)}) \]
          Note: The Softmax is applied to the scalar attention scores, and the result is used to weight the vector representations \( L(\mathbf{h}_{e_t}^{(l)}) \).

      4.  **Node Update:**
          Update the visit node's representation by combining the aggregated message with the node's original representation using a skip connection:
          \[ \mathbf{h}_v^{(l+1),i} = \gamma \cdot L(\widetilde{\mathbf{h}}_v^i) + (1 - \gamma) \cdot \mathbf{h}_v^{(l)} \]
          (Note: The original paper has a slightly ambiguous formula; we use a standard GAT-like update for clarity. Assume the \(L\) in this step is a final linear transformation on the aggregated message).

      Your task is to implement a function that performs these steps for a single visit node and its neighbors, returning the updated visit node representation \( \mathbf{h}_v^{(l+1),i} \).","The temporal components integrated into the message passing mechanism are critical for model performance. In an ablation study on the MIMIC-IV dataset, removing the Temporal Embedding (TE) causes the visit-level Precision@10 to drop from \( 65.68 \pm 0.22 \) to \( 63.97 \pm 0.27 \). This significant decrease underscores the importance of explicitly modeling time, both through absolute visit time encoding and relative time factors on edges, to capture the dynamics of a patient's health status.",reject,implementation_only|inaccessible_data|paper_metric_only
