ID,Year,Venue,Title,deepseek-v3-official_select,deepseek-r1-official_select,qwen3-235b-a22b_select,select_final
1,2020,aaai,Generative Adversarial Regularized Mutual Information Policy Gradient Framework for Automatic Diagnosis,1,1,0,1
2,2020,aaai,AdaCare: Explainable Clinical Health Status Representation Learning via Scale-Adaptive Feature Extraction and Recalibration,1,1,1,1
3,2020,aaai,ConCare: Personalized Clinical Feature Embedding via Capturing the Healthcare Context,1,1,1,1
4,2020,aaai,DeepAlerts: Deep Learning Based Multi-Horizon Alerts for Clinical Deterioration on Oncology Hospital Wards,1,1,1,1
5,2020,aaai,Learning the Graphical Structure of Electronic Health Records with Graph Convolutional Transformer,1,1,1,1
6,2020,aaai,Doctor2Vec: Dynamic Doctor Representation Learning for Clinical Trial Recruitment,1,0,1,0
7,2020,aaai,Federated Patient Hashing,0,1,1,0
8,2020,aaai,Deep Mixed Effect Model Using Gaussian Processes: A Personalized and Reliable Prediction for Healthcare,1,1,1,1
9,2020,aaai,Learning Conceptual-Contextual Embeddings for Medical Text,0,1,1,1
10,2020,aaai,Understanding Medical Conversations with Scattered Keyword Attention and Weak Supervision from Responses,0,1,1,1
11,2020,aaai,ICD Coding from Clinical Text Using Multi-Filter Residual Convolutional Neural Network,1,1,1,1
12,2020,aaai,A System for Medical Information Extraction and Verification from Unstructured Text,0,1,1,1
13,2021,aaai,GRASP: Generic Framework for Health Status Representation Learning Based on Incorporating Knowledge from Similar Patients,1,1,1,1
14,2021,aaai,Clinical Risk Prediction with Temporal Probabilistic Asymmetric Multi-Task Learning,1,1,1,1
15,2021,aaai,Longitudinal Deep Kernel Gaussian Process Regression,0,1,1,0
16,2021,aaai,ESCAPED: Efficient Secure and Private Dot Product Framework for Kernel-based Machine Learning Algorithms with Applications in Healthcare,0,1,1,1
17,2021,aaai,MUFASA: Multimodal Fusion Architecture Search for Electronic Health Records,1,1,1,1
18,2021,aaai,MTAAL: Multi-Task Adversarial Active Learning for Medical Named Entity Recognition and Normalization,1,1,1,1
19,2021,aaai,Clinical Temporal Relation Extraction with Probabilistic Soft Logic Regularization and Global Inference,1,1,1,1
20,2022,aaai,Diaformer: Automatic Diagnosis via Symptoms Sequence Generation,0,1,1,1
21,2022,aaai,Context-Aware Health Event Prediction via Transition Functions on Dynamic Disease Graphs,0,1,1,1
22,2022,aaai,Clustering Interval-Censored Time-Series for Disease Phenotyping,0,1,1,1
23,2023,aaai,Heterogeneous Graph Learning for Multi-Modal Medical Data Analysis,0,1,1,1
24,2023,aaai,KerPrint: Local-Global Knowledge Graph Enhanced Diagnosis Prediction for Retrospective and Prospective Interpretations,1,1,1,1
25,2023,aaai,Multi-Label Few-Shot ICD Coding as Autoregressive Generation with Prompt,1,1,1,1
26,2023,aaai,Estimating Treatment Effects from Irregular Time Series Observations with Hidden Confounders,0,1,1,1
27,2023,aaai,Estimating Average Causal Effects from Patient Trajectories,0,1,1,1
28,2023,aaai,Causal Recurrent Variational Autoencoder for Medical Time Series Generation,1,1,1,1
29,2023,aaai,MHCCL: Masked Hierarchical Cluster-Wise Contrastive Learning for Multivariate Time Series,0,1,1,1
30,2023,aaai,Forecasting with Sparse but Informative Variables: A Case Study in Predicting Blood Glucose,0,1,1,1
